,COF ID,k_avg [W/(mK)],k_x [W/(mK)],k_y [W/(mK)],Density [g/cm³],Largest included sphere diameter [A],Void fraction [-],Surface area [m^2/g],Dangling Mass Ratio [-]
376,linker96_C_linker77_C_hca_relaxed,0.512210016255248,0.5137500190907844,0.5106700134197115,0.34428081,51.35613,0.933741,8080.28,0.081351048
377,linker95_C_linker50_C_hnb_relaxed,0.41556475912814506,0.415767873290107,0.4153616449661831,0.35534795,44.02993,0.919797,7562.08,
378,linker92_C_linker38_C_hnc_relaxed,1.2733968246929035,1.2310242151211506,1.3157694342646564,0.81283444,20.05228,0.872683,6098.66,0.167722798
379,linker97_CH2_linker57_NH_kgm_relaxed,0.408057347050892,0.4015664063503691,0.414548287751415,0.37255539,46.12157,0.917149,7411.87,0.232906116
380,linker91_C_linker3_C_tts-a_relaxed,1.2685693176980948,1.2692063325562464,1.2679323028399432,0.95512264,15.94865,0.824394,6638.1,0.120612011
381,linker93_C_linker46_C_hca_relaxed,0.3616917024770677,0.364698277788765,0.3586851271653704,0.32445925,46.51386,0.905967,5449.24,0.244668109
382,linker100_C_linker32_C_kgm_relaxed,0.5608811056207086,0.5605620625773574,0.5612001486640597,0.58642816,23.79279,0.835206,5783.96,0.200155472
383,linker91_C_linker11_C_car_relaxed,0.8910577857889745,0.9745349735479856,0.8075805980299636,0.6411428,13.36613,0.753462,4647.67,0.339054039
384,linker100_C_linker60_C_kgm_relaxed,0.8737649951763569,0.8724976405135577,0.875032349839156,0.70169608,16.80339,0.720525,4139.24,0.248928845
385,linker107_N_linker6_CH_sql_relaxed,0.7656062754127382,0.7675255134991482,0.7636870373263281,1.1370809,9.48282,0.833998,6490.53,0.354222321
386,linker111_C_linker36_C_sql_relaxed,0.7125884966684666,0.7258580878187852,0.6993189055181479,0.5925731,13.50469,0.709373,3657.54,0.131544663
387,linker108_CO_linker47_NH_kgm_relaxed,0.9007563441321409,0.8735223980148348,0.927990290249447,0.87539716,19.4505,0.684876,3060.07,
388,linker97_C_linker74_C_kgm_relaxed,0.7368607921608515,0.7123065828612853,0.7614150014604177,0.40262711,39.797,0.902209,7069.63,0.216828659
389,linker99_C_linker27_C_kgm_relaxed,0.526300845953392,0.5366614775370327,0.5159402143697511,0.6308253,22.64395,0.835725,5451.29,
390,linker92_C_linker64_C_hnb_relaxed,0.6510853151823307,0.6774544166629464,0.624716213701715,0.66353492,15.8031,0.844456,6047.12,0.205208013
391,linker98_CH_linker28_N_sql_relaxed,0.5879406435319039,0.589116323609346,0.5867649634544617,0.47891539,26.0446,0.902897,7501.55,0.195092644
392,linker92_N_linker7_CH_kgd-a_relaxed,0.5170684120858098,0.5351213360866701,0.4990154880849494,0.62630569,18.82634,0.877114,8026.08,0.171208109
393,linker98_C_linker18_C_kgm_relaxed,0.5319999495541232,0.5394084665707559,0.5245914325374904,0.48883573,33.81121,0.872297,6512.65,0.349583319
394,linker91_C_linker33_C_fxt_relaxed,0.7892386954856083,0.8058410865288744,0.7726363044423422,0.61608839,41.6,0.86417,5069.56,
395,linker107_N_linker8_CH_sql_relaxed,0.9132582049901043,0.9080617253696148,0.918454684610594,1.2075395,9.21317,0.82958,6110.08,0.354222321
396,linker107_N_linker42_CH_krr_relaxed,0.7281566547377423,0.6633893437751085,0.7929239657003759,1.0946114,18.32171,0.858592,5478.06,0.342065806
397,linker91_C_linker68_C_ply_relaxed,1.1890908613855609,1.2661887703123298,1.1119929524587917,1.2239829,15.98198,0.828624,5227.66,0.267551864
398,linker96_C_linker19_C_hcb_relaxed,1.9588958100488734,1.9425799371727337,1.975211682925013,0.40843015,33.73694,0.932624,8714.83,0.180041972
399,linker98_C_linker6_C_sql_relaxed,0.8898239782308132,0.8477166960330551,0.9319312604285712,0.67392086,14.70789,0.844402,6080.36,0.325069362
